outlet_a,group_a,outlet_b,group_b,shared_clusters,jaccard
operativnoZSU,ukraine,yle_fi,unknown,1,0.0179
readovkanews,ru_state,yurasumy,ru_state,1,0.0179
spravdi,trusted,wartranslated,independent,1,0.0179
_generic_t1,trusted,delfi_lt_rus,trusted,2,0.0177
_generic_t2,trusted,breaking_defense,trusted,3,0.0176
_generic_t2,trusted,delfi_lt_rus,trusted,3,0.0176
RVvoenkor,ru_state,tribuna_ee,trusted,1,0.0175
deepstatemap,ukraine,nexta_live,independent,1,0.0175
defence_blog,trusted,sternenko,ukraine,1,0.0175
insider_ua,ukraine,spravdi,trusted,1,0.0175
insider_ua,ukraine,yurasumy,ru_state,1,0.0175
meduza,unknown,tass_ru,ru_state,1,0.0175
postimees_et,trusted,rybar,ru_state,1,0.0175
sternenko,ukraine,voenacher,ru_state,1,0.0175
colonel_cassad,ru_state,shot_shot,ru_state,2,0.0174
_generic_russian_language_ee,ru_proxy,postimees_rus,trusted,1,0.0172
breaking_defense,trusted,wartranslated,independent,1,0.0172
defence_blog,trusted,lachentyt,ru_state,1,0.0172
interfax,ru_state,truexanewsua,ukraine,1,0.0172
operativnoZSU,ukraine,yle_en,unknown,1,0.0172
_generic_estonian_media,trusted,_generic_russian_independent,independent,4,0.0172
TCH_channel,ukraine,montyan,ru_state,1,0.0169
_generic_ru_state,ru_state,kommersant,ru_state,4,0.0169
delfi_lt_rus,trusted,insider_ua,ukraine,1,0.0169
gerashchenko,ukraine,vz_lt,trusted,1,0.0169
operativnoZSU,ukraine,tribuna_ee,trusted,1,0.0169
postimees_et,trusted,readovkanews,ru_state,1,0.0169
_generic_russian_independent,independent,_generic_russian_state,ru_state,10,0.0169
RVvoenkor,ru_state,deepstatemap,ukraine,1,0.0167
TCH_channel,ukraine,interfax,ru_state,1,0.0167
_generic_ukraine_media,ukraine,ukrinform,trusted,3,0.0167
colonel_cassad,ru_state,sternenko,ukraine,2,0.0167
deepstatemap,ukraine,gerashchenko,ukraine,1,0.0167
