id,cluster_id,first_signal_id,first_source,first_category,first_title,first_published,signal_count,category_count,categories,is_state_origin,created_at
790,6756,341222,rss:rss,ru_state,"Вяльбе считает, что у Большунова серьёзная конкуренция в России",2026-03-16 07:58:46+00,2,1,{ru_state},t,2026-03-22 19:43:03.021284+00
791,6776,108634,rss:rss,ru_state,Врач Белоусова назвала омлет с салатом из свежих овощей полезным вариантом завтрака,2026-03-15 18:00:12+00,2,1,{ru_state},t,2026-03-22 19:43:03.021284+00
792,6777,308528,rss:rss,ru_state,Суд в Москве признал незаконной продажу лучных комплектов для рыбалки,2026-03-16 05:05:35+00,3,1,{ru_state},t,2026-03-22 19:43:03.021284+00
793,6751,275297,rss:rss,ru_state,Трамп ожидает помощи Китая в восстановлении судоходства в Ормузском проливе,2026-03-16 03:48:36+00,4,1,{ru_state},t,2026-03-22 19:43:03.021284+00
794,6757,971980,rss:rss,ru_state,«Росатом» готовит третью волну эвакуации сотрудников из Ирана,2026-03-17 20:55:14+00,7,1,{ru_state},t,2026-03-22 19:43:03.021284+00
795,6771,736433,rss:rss,ru_state,Посол Украины в Будапеште сфотографировался с дырявым флагом Венгрии,2026-03-17 06:02:57+00,2,1,{ru_state},t,2026-03-22 19:43:03.021284+00
796,6784,408011,rss:rss,ru_state,Захарова назвала подвигом результаты российских спортсменов на Паралимпиаде,2026-03-16 12:09:24+00,2,1,{ru_state},t,2026-03-22 19:43:03.021284+00
797,6753,374380,rss:rss,ru_state,Telegram оштрафовали на 35 млн рублей за неудаление запрещённого контента,2026-03-16 09:19:21+00,3,1,{ru_state},t,2026-03-22 19:43:03.021284+00
798,6772,534490,rss:rss,ru_state,"Россиянам рассказали о факторах, влияющих на курс юаня",2026-03-16 18:55:20+00,4,1,{ru_state},t,2026-03-22 19:43:03.021284+00
799,6762,85695,rss:rss,ru_state,Источник: подозреваемый в убийстве москвички в последнее время был «отрешённым»,2026-03-14 19:05:30+00,6,1,{ru_state},t,2026-03-22 19:43:03.021284+00
800,6790,108702,rss:rss,ru_state,Два человека пострадали при атаке БПЛА ВСУ в Белгородской области,2026-03-15 16:59:11+00,2,1,{ru_state},t,2026-03-22 19:43:03.021284+00
801,6795,85693,rss:rss,ru_state,Матч Финалиссимы между сборными Испании и Аргентины могут отменить,2026-03-14 19:09:23+00,2,1,{ru_state},t,2026-03-22 19:43:03.021284+00
802,6798,2300099,lachentyt,unverified_anonymous,"На Харківщині та в прикордонних громадах Сумщини фіксуємо спроби окупанта просунутися від кордону, — Зеленський.",2026-03-22 17:54:13+00,2,1,{unverified_anonymous},f,2026-03-22 19:43:03.021284+00
803,6691,2093749,wartranslated,trusted,18+ A Russian occupier shares his impressions after an assault.,2026-03-21 14:02:17+00,2,1,{trusted},f,2026-03-22 19:43:03.021284+00
804,6645,2039553,rezident_ua,unverified_anonymous,"#Инсайд 
Сегодня СМИ и телеграм каналы начали писать о кризисе в партии Слуга Народа, но наши источники еще месяц назад…",2026-03-13 19:04:34+00,2,1,{unverified_anonymous},f,2026-03-22 19:43:03.021284+00
805,6793,85623,rss:rss,ru_state,Марочко сообщил о сложной гуманитарной ситуации в Константиновке,2026-03-14 23:16:33+00,2,1,{ru_state},t,2026-03-22 19:43:03.021284+00
806,6779,108715,rss:rss,ru_state,Журова призвала IPC и МОК пресекать бойкоты украинских спортсменов,2026-03-15 16:57:55+00,7,1,{ru_state},t,2026-03-22 19:43:03.021284+00
807,6804,2093518,truexanewsua,unverified_anonymous,❗️На росії більше немає безпечних місць: Україна масштабніше битиме по ворогу. москва не має жодних шансів виграти у…,2026-03-21 17:36:06+00,3,2,"{trusted,unverified_anonymous}",f,2026-03-22 19:43:03.021284+00
808,6888,870033,rss:rss,ru_state,"Американист Блохин: Куба может быть не так интересна Трампу, как Гренландия",2026-03-17 15:10:08+00,3,1,{ru_state},t,2026-03-22 19:43:03.021284+00
809,5740,440682,rss:rss,ru_state,Средства ПВО за восемь часов уничтожили 96 БПЛА ВСУ над территорией России,2026-03-16 13:57:15+00,11,4,"{ru_proxy,russian_state,ru_state,trusted}",t,2026-03-22 19:43:03.021284+00
